Id;Response_Market_Index;PROD_Formula;PER_sex;PER_Sex_Second_Driver;VEH_Actual_Value;CLA_HISTORY;CLA_HISTORY_1Y;CLA_HISTORY_3Y;CLA_BM_TPL_DECLARED;BEH_Mileage;PER_KIDS_ON_BOARD_ID;VEH_Number_of_doors;VEH_Top_Speed;BEH_Number_Year_Insured;VEH_TransmissionId;PER_Age_Main_Driver;PER_License_Age_Main_Driver;PER_License_Age_Second_Driver;PER_Matrimonial_Status;VEH_Age;VEH_Injection_Mode;VEH_fuel_type;BEH_vehicule_usage;VEH_Drive_type;VEH_Body;VEH_Segment;PER_Parking_Type;CLA_BM;VEH_engine_HP;VEH_pw_proportion;VEH_High_Risk_Vehicle;PER_previous_insurer;PER_Is_second_driver;PER_Age_oldest_child;PER_Second_Driver_Age;PER_Insured_Before;VEH_Weight;GEO_Lat;GEO_Long
1710276;814;FULL;2;0;7200;1;1;1;-1;13;2;5;160;-1;7;42;3;-1;5;12;389999;1;1;50001;10;30002;2;0;70;48;2;-99;1;18;-1;4;1070;-0.640876374907414;-1.98114659022756
1710277;378;BASIC;1;0;5400;1;1;1;1;16;2;4;158;10;7;48;30;-1;2;14;389999;2;1;50001;9;30003;2;10;90;56;1;18;1;19;-1;1;1191;-1.47417637490742;0.00225340977243604
1710279;378;FULL;1;0;5400;1;1;1;1;16;2;4;158;10;7;48;30;-1;2;14;389999;2;1;50001;9;30003;2;10;90;56;1;18;1;19;-1;1;1191;-1.47417637490742;0.00225340977243604
1710280;378;FULL;1;0;5400;1;1;1;1;16;2;4;158;10;7;48;30;-1;2;14;389999;2;1;50001;9;30003;2;10;90;56;1;18;1;19;-1;1;1191;-1.47417637490742;0.00225340977243604
1710283;485.37;BASIC;1;2;31045;2;1;2;1;15;1;5;220;10;7;38;20;10;2;6;380008;2;1;50001;9;30005;1;10;180;90;2;2;2;5;34;2;1475;0.509123625092585;1.98555340977244
1710290;368.75;BASIC;1;0;16083;1;1;1;1;12;1;5;185;10;7;36;18;-1;2;9;380002;1;1;50001;10;30003;1;10;97;63;2;15;1;6;-1;2;1130;-0.340876374907417;-2.81444659022756
1710293;1198.39;BASIC;1;0;27830;1;1;1;-1;14;3;5;242;-1;7;27;2;-1;1;9;389999;2;1;50002;9;30006;2;0;218;91;2;-99;1;-99;-1;4;1760;0.192423625092587;-3.51444659022756
1710294;368.69;BASIC;1;0;20733;1;1;1;1;13;1;5;187;4;7;25;7;?;?;6;380002;1;1;50001;10;30003;3;4;109;64;2;16;1;1;-1;1;1263;-0.757576374907416;-0.797746590227565
1710295;368.69;FULL;1;0;20733;1;1;1;1;13;1;5;187;4;7;25;7;?;?;6;380002;1;1;50001;10;30003;3;4;109;64;2;16;1;1;-1;1;1263;-0.757576374907416;-0.797746590227565
1710296;646.42;FULL;1;2;5501;1;1;1;7;13;3;3;185;1;7;30;13;2;1;11;389999;1;1;50001;10;30003;3;1;105;64;2;15;2;-99;24;1;1215;0.509123625092585;1.98555340977244
1710297;346.84;BASIC;1;0;11846;1;1;1;1;13;2;5;175;10;7;72;49;?;?;10;380002;1;1;50001;10;30002;2;10;87;72;2;21;1;-99;-1;1;895;-1.05757637490741;-2.39774659022756
1710298;646.42;FULL;1;2;5501;1;1;1;7;13;3;3;185;1;7;30;13;2;1;11;389999;1;1;50001;10;30003;3;1;105;64;2;15;2;-99;24;1;1215;0.509123625092585;1.98555340977244
1710299;1198.39;FULL;1;0;27830;1;1;1;-1;14;3;5;242;-1;7;27;2;-1;1;9;389999;2;1;50002;9;30006;2;0;218;91;2;-99;1;-99;-1;4;1760;0.192423625092587;-3.51444659022756
1710302;394.5;FULL;1;0;23875;1;1;1;1;14;1;5;190;10;7;29;11;-1;2;3;380002;1;1;50001;9;30003;3;10;102;62;2;6;1;1;-1;2;1220;-1.47417637490742;0.00225340977243604
1710303;299;FULL;1;2;32957;1;1;1;1;15;1;5;195;10;7;43;25;2;2;4;380008;2;1;50001;9;30003;2;10;130;63;2;2;2;14;41;1;1530;-1.75757637490742;0.502253409772436
1710304;400;FULL;1;2;19820;1;1;1;3;13;3;5;179;7;7;35;17;?;?;7;380002;1;1;50001;10;30003;2;7;90;55;2;32;2;-99;26;1;1205;-0.857576374907417;2.65225340977243
1710305;400;BASIC;1;2;19820;1;1;1;3;13;3;5;179;7;7;35;17;?;?;7;380002;1;1;50001;10;30003;2;7;90;55;2;32;2;-99;26;1;1205;-0.857576374907417;2.65225340977243
1710306;400;FULL;1;2;19820;1;1;1;3;13;3;5;179;7;7;35;17;?;?;7;380002;1;1;50001;10;30003;2;7;90;55;2;32;2;-99;26;1;1205;-0.857576374907417;2.65225340977243
1710307;394.5;BASIC;1;0;23875;1;1;1;1;14;1;5;190;10;7;29;11;-1;2;3;380002;1;1;50001;9;30003;3;10;102;62;2;6;1;1;-1;2;1220;-1.47417637490742;0.00225340977243604
1710309;1075;BASIC;1;0;7770;1;1;1;7;13;2;5;203;0;7;23;4;-1;1;11;389999;1;1;50001;10;30005;2;0;122;67;2;27;1;-99;-1;1;1355;-1.79087637490741;-0.431146590227563
1710310;365.13;BASIC;1;0;37487;1;1;1;1;14;1;5;242;7;8;35;17;-1;2;7;380009;2;1;50003;9;30006;2;7;233;94;2;10;1;6;-1;2;1825;-1.42417637490742;-1.64774659022756
1710314;829;FULL;1;0;11645;1;1;1;7;13;3;3;235;0;7;27;8;-1;1;10;389999;1;1;50002;10;30003;4;0;192;96;2;18;1;-99;-1;1;1480;0.509123625092585;1.98555340977244
1710325;289;FULL;1;0;11846;1;1;1;1;13;2;5;175;10;7;72;49;?;?;10;380002;1;1;50001;10;30002;2;10;87;72;2;21;1;-99;-1;1;895;-1.05757637490741;-2.39774659022756
1710326;1198.39;FULL;1;0;27830;1;1;1;-1;14;3;5;242;-1;7;27;2;-1;1;9;389999;2;1;50002;9;30006;2;0;218;91;2;-99;1;-99;-1;4;1760;0.192423625092587;-3.51444659022756
1710328;326;FULL;1;0;13708;1;1;1;5;12;3;5;165;3;7;28;5;?;?;4;380008;2;1;50001;10;30002;2;3;68;45;2;2;1;-99;-1;1;1123;-1.02417637490741;4.23555340977244
1710329;326;FULL;1;0;13708;1;1;1;5;12;3;5;165;3;7;28;5;?;?;4;380008;2;1;50001;10;30002;2;3;68;45;2;2;1;-99;-1;1;1123;-1.02417637490741;4.23555340977244
1710331;368.69;FULL;1;0;20733;1;1;1;1;13;1;5;187;4;7;25;7;?;?;6;380002;1;1;50001;10;30003;3;4;109;64;2;16;1;1;-1;1;1263;-0.757576374907416;-0.797746590227565
1710332;326;FULL;1;0;13708;1;1;1;5;12;3;5;165;3;7;28;5;?;?;4;380008;2;1;50001;10;30002;2;3;68;45;2;2;1;-99;-1;1;1123;-1.02417637490741;4.23555340977244
1710337;485.37;FULL;1;2;31045;2;1;2;1;15;1;5;220;10;7;38;20;10;2;6;380008;2;1;50001;9;30005;1;10;180;90;2;2;2;5;34;2;1475;0.509123625092585;1.98555340977244
1710342;306;BASIC;1;0;21346;1;1;1;1;15;2;3;165;10;7;52;25;?;?;3;380002;1;1;50001;10;30002;2;10;77;56;2;7;1;20;-1;1;1025;-0.940876374907418;0.102253409772437
1710343;306;FULL;1;0;21346;1;1;1;1;15;2;3;165;10;7;52;25;?;?;3;380002;1;1;50001;10;30002;2;10;77;56;2;7;1;20;-1;1;1025;-0.940876374907418;0.102253409772437
1710354;378;BASIC;1;0;7400;1;1;1;1;12;2;5;190;7;7;25;6;-1;1;12;389999;2;1;50001;9;30005;2;6;107;55;2;27;1;-99;-1;1;1460;-1.10757637490742;-2.38114659022757
1710361;368.69;FULL;1;0;20733;1;1;1;1;13;1;5;187;4;7;25;7;?;?;6;380002;1;1;50001;10;30003;3;4;109;64;2;16;1;1;-1;1;1263;-0.757576374907416;-0.797746590227565
1710362;368.69;FULL;1;0;20733;1;1;1;1;13;1;5;187;4;7;25;7;?;?;6;380002;1;1;50001;10;30003;3;4;109;64;2;16;1;1;-1;1;1263;-0.757576374907416;-0.797746590227565
1710366;460;BASIC;1;0;56103;1;1;1;2;14;1;4;170;7;7;38;19;-1;2;5;380008;2;1;50007;11;30010;2;7;171;67;2;21;1;11;-1;2;1885;2.57582362509258;-0.747746590227564
1710377;522.35;FULL;1;0;36895;1;1;1;-1;14;3;5;220;-1;7;33;15;-1;1;6;380001;1;1;50001;10;30005;2;0;160;82;2;-99;1;-99;-1;4;1454;-1.10757637490742;1.73555340977244
1710378;522.35;FULL;1;0;36895;1;1;1;-1;14;3;5;220;-1;7;33;15;-1;1;6;380001;1;1;50001;10;30005;2;0;160;82;2;-99;1;-99;-1;4;1454;-1.10757637490742;1.73555340977244
1710380;368.75;FULL;1;0;16083;1;1;1;1;12;1;5;185;10;7;36;18;-1;2;9;380002;1;1;50001;10;30003;1;10;97;63;2;15;1;6;-1;2;1130;-0.340876374907417;-2.81444659022756
